ID,event,dir,audio_volume,visual_type,audio_angle,audio_type,answer,reaction_time,valid
408,15,-1,0,0,20,0,1,1333,True
408,16,1,0,0,-30,0,0,845,True
408,17,-1,0,0,-20,0,0,1089,True
408,18,1,0,0,10,0,1,944,True
408,19,-1,0,0,-30,0,0,1732,True
408,20,1,0,0,20,0,1,1010,True
408,21,-1,0,0,-5,0,0,1343,True
408,22,1,0,0,30,0,1,1110,True
408,23,-1,0,0,-30,0,0,955,True
408,24,1,0,0,-20,0,0,1922,True
408,25,-1,0,0,30,0,1,900,True
408,26,1,0,0,-10,0,1,766,True
408,27,-1,0,0,-10,0,1,978,True
408,28,1,0,0,-30,0,0,977,True
408,29,-1,0,0,-15,0,0,3565,True
408,30,1,0,0,-20,0,0,710,True
408,31,-1,0,0,-5,0,1,754,True
408,32,1,0,0,10,0,1,789,True
408,33,-1,0,0,20,0,1,1100,True
408,34,1,0,0,-15,0,1,799,True
408,35,-1,0,0,30,0,1,1721,True
408,36,1,0,0,-15,0,1,2943,True
408,37,-1,0,0,10,0,1,856,True
408,38,1,0,0,5,0,1,722,True
408,39,-1,0,0,-10,0,0,789,True
408,40,1,0,0,15,0,1,1089,True
408,41,-1,0,0,30,0,1,2620,True
408,42,1,0,0,-5,0,0,5452,True
408,43,-1,0,0,10,0,1,1355,True
408,44,1,0,0,-5,0,0,5941,True
408,45,-1,0,0,-10,0,0,4165,True
408,46,1,0,0,5,0,1,1410,True
408,47,-1,0,0,5,0,1,1011,True
408,48,1,0,0,5,0,1,877,True
408,49,-1,0,0,15,0,1,922,True
408,50,1,0,0,-10,0,0,1089,True
408,51,-1,0,0,15,0,1,1945,True
408,52,1,0,0,-20,0,0,866,True
408,53,-1,0,0,-5,0,1,832,True
408,54,1,0,0,20,0,1,1133,True
408,55,-1,0,0,0,0,0,2766,True
408,56,1,0,0,0,0,1,1332,True
408,57,-1,0,0,10,0,1,999,True
408,58,1,0,0,20,0,1,988,True
408,59,-1,0,0,20,0,1,1854,True
408,60,1,0,0,30,0,1,1065,True
408,61,-1,0,0,-20,0,0,756,True
408,62,1,0,0,0,0,1,1155,True
408,63,-1,0,0,5,0,0,810,True
408,64,1,0,0,0,0,1,1377,True
408,65,-1,0,0,-20,0,0,789,True
408,66,1,0,0,15,0,1,856,True
408,67,-1,0,0,-15,0,0,2610,True
408,68,1,0,0,-10,0,0,3421,True
408,69,-1,0,0,-15,0,0,822,True
409,4,1,0,0,0,0,1,689,True
409,5,-1,0,0,-15,0,0,577,True
409,6,1,0,0,5,0,1,622,True
409,7,-1,0,0,-20,0,0,800,True
409,8,1,0,0,-15,0,0,688,True
409,9,-1,0,0,0,0,1,710,True
409,10,1,0,0,-15,0,0,732,True
409,11,-1,0,0,20,0,1,632,True
409,12,1,0,0,-15,0,0,566,True
409,13,-1,0,0,0,0,1,1334,True
409,14,1,0,0,30,0,1,678,True
409,15,-1,0,0,5,0,1,678,True
409,16,1,0,0,15,0,1,710,True
409,17,-1,0,0,20,0,1,744,True
409,18,1,0,0,-20,0,0,789,True
409,19,-1,0,0,-5,0,0,710,True
409,20,1,0,0,-30,0,0,722,True
409,21,-1,0,0,-10,0,0,1433,True
409,22,1,0,0,-10,0,0,711,True
409,23,-1,0,0,-20,0,0,710,True
409,24,1,0,0,5,0,1,588,True
409,25,-1,0,0,-5,0,0,733,True
409,26,1,0,0,20,0,1,655,True
409,27,-1,0,0,10,0,1,767,True
409,28,1,0,0,20,0,1,566,True
409,29,-1,0,0,-30,0,0,600,True
409,30,1,0,0,10,0,1,756,True
409,31,-1,0,0,10,0,1,744,True
409,32,1,0,0,0,0,0,810,True
409,33,-1,0,0,30,0,1,733,True
409,34,1,0,0,5,0,0,734,True
409,35,-1,0,0,-10,0,0,700,True
409,36,1,0,0,15,0,1,721,True
409,37,-1,0,0,-30,0,0,633,True
409,38,1,0,0,0,0,1,522,True
409,39,-1,0,0,-20,0,0,599,True
409,40,1,0,0,30,0,1,577,True
409,41,-1,0,0,15,0,1,700,True
409,42,1,0,0,15,0,1,512,True
409,43,-1,0,0,30,0,1,1344,True
409,44,1,0,0,-30,0,0,688,True
409,45,-1,0,0,30,0,1,700,True
409,46,1,0,0,-5,0,1,722,True
409,47,-1,0,0,10,0,1,699,True
409,48,1,0,0,-30,0,0,744,True
409,49,-1,0,0,-10,0,1,755,True
409,50,1,0,0,-10,0,0,622,True
409,51,-1,0,0,20,0,1,711,True
409,52,1,0,0,-5,0,1,589,True
409,53,-1,0,0,15,0,1,622,True
409,54,1,0,0,10,0,1,678,True
409,55,-1,0,0,5,0,1,655,True
409,56,1,0,0,-20,0,0,733,True
409,57,-1,0,0,-30,0,0,855,True
409,58,1,0,0,-5,0,0,666,True
409,59,-1,0,0,5,0,1,678,True
409,60,1,0,0,10,0,1,544,True
409,61,-1,0,0,-15,0,0,733,True
409,62,1,0,0,30,0,1,656,True
409,63,-1,0,0,15,0,0,677,True
409,64,1,0,0,-20,0,0,1310,True
409,65,-1,0,0,-15,0,0,634,True
409,66,1,0,0,-10,0,0,733,True
409,67,-1,0,0,0,0,1,788,True
409,68,1,0,0,20,0,1,611,True
409,69,-1,0,0,-5,0,1,666,True
410,4,1,0,0,0,0,1,1644,True
